Number,Name,RA 1900 (Hour) ,RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate
316,Fedorenko 3638    ,20,52,74,23,74,889,7.8,G5,0.69,0.037,9,23
317,Nu Pegasi    ,22,1,4,34,4,4800,4.9,K0,0.14,0.01,9,19
318,Delta Cephei    ,22,25,57,54,57,2548,Var.,G0,0.02,0.006,6,15
319,Iota Cephei    ,22,46,65,40,65,1814,3.7,K0,0.14,0.027,7,21
320,Piazzi 267,0,0,34,6,33,4828,6.2,F0,0.77,0.04,0.009,0.024
321,Sigma 42 (brighter),0,31,29,27,,,9,,0.45,0.032,6,17
322,Sigma 42 (fainter),0,31,29,27,,,9.8,,,0.013,10,28
,Mean,,,,,29,105,8.6,F8,,0.027,5,
323,54 Piscium,0,34,20,43,20,85,6.1,K0,0.6,0.096,7,24
324,55 Piscium,0,35,20,53,20,87,5.6,K0,0.05,0.003,6,17
325,Lalande 1045,0,35,39,39,39,154,7.5,K0,0.8,0.086,6,15
326,Beta Andromedae,1,4,35,5,34,198,2.4,Ma,0.22,0.033,7,19
327,Piazzi 142,1,36,42,7,41,328,5.1,F8,0.82,0.081,7,22
328,9 Lambda Arietis,1,52,23,7,22,288,4.8,A5,0.09,0.023,8,21
329,8 Delta Trianguli,2,11,33,46,33,395,5.1,G0,0.081,0.062,8,22
330,Piazzi 123,2,31,6,25,6,398,5.9,K0,2.32,0.145,8,23
331,10 Tauri,3,32,0,5,0,572,4.4,G5,0.53,0.055,10,29
332,38 Omicron Persei,3,38,31,58,31,642,3.9,B1,0.028,0,7,19
333,Groombridge 864,4,35,41,56,41,931,7.3,G0,0.69,0.021,7,23
334,Companion to Capella,5,10,45,44,,,10.5,,0.42,0.71,8,21
335,Eta Geminorum,6,9,22,32,22,1241,Var.,Ma,0.06,0.016,8,28
336,Lalande 12293,6,22,36,33,36,1442,7.1,G0,0.39,0.032,7,21
337,19 Lyncis (fainter),7,15,55,28,,,6.5,A,,-0.004,7,22
338,19 Lyncis (brighter),7,15,55,28,,,5.6,B8,,0.007,8,23
,Mean,,,,,55,1192,,,0.033,0.001,5,
339,Omicron Leonis,9,36,10,21,36,2044,3.8,F5,0.15,0.024,8,24
340,60 Leonia,10,57,20,43,20,2547,4.4,A,0.029,0.007,8,20
341,Piazzi 40,12,14,17,6,17,2462,7,G5,0.24,0.019,8,21
342,Lalande 24414,13,4,5,46,6,2697,6.7,G0,0.68,0.035,9,24
343,Sigma 2106,16,46,9,35,9,3287,6.8,F8,,-0.004,9,26
344,Sigma 2128,17,2,59,43,59,1783,9.1,K0,0.43,0.039,8,20
345,Weisse 1805,17,58,26,20,26,3151,7.1,K0,0.72,0.035,11,27
346,Lalande 33439,18,6,38,27,38,3095,6.4,G,0.58,0.095,6,16
347,111 Herculis,18,43,18,4,18,3823,4.4,A3,0.13,0.051,9,26
348,31 b Aquilae,19,20,11,44,11,3833,5.2,G5,0.96,0.055,11,28
349,38 Mu Aquilae,19,29,7,10,7,4132,4.6,K,0.27,0.016,8,18
350,Groombridge 2875,19,29,58,23,58,1929,6.7,K0,0.66,0.025,6,16
351,Lalande 37120,19,30,32,59,32,3474,6.6,G0,0.52,0.027,10,24
352,17 Cygni,19,43,33,30,33,3587,5,F5,0.45,0.03,7,18
353,Lalande 38383,20,0,23,5,22,3908,7.2,K2,1.37,0.038,7,20
354,Lalande 38380,20,0,29,38,29,3872,5.7,K,0.86,0.044,7,18
355,Groombridge 3243,20,34,42,29,42,3807,7.1,F8,0.2,-0.005,9,26
356,Oeltzen 21338,20,51,61,48,61,2068,8.6,K0,0.77,0.134,7,18
357,Lalande 40848,20,59,45,29,45,3371,8.1,K2,0.4,0.044,9,20
358,Beta 1138,20,59,45,27,45,3374,6.2,B8,,-0.004,11,28
359,Lalande 41685,21,21,0,41,0,4726,6.4,F2,0.19,0.047,10,24
360,Lalande 41818,21,25,11,50,11,4578,7.7,G0,0.18,0.001,8,23
361,Lalande 42286,21,37,26,18,26,4237,7.4,G5,0.36,0.028,7,18
362,Mu Cephei,21,40,58,19,58,2316,Var.,Ma,0.004,0.005,8,25
363,Lalande 42843,21,53,3,18,3,4644,7.1,F8,0.31,0.025,10,28
364,Lalande 43492,22,12,12,24,12,4797,6.9,G0,0.85,0.033,9,23
365,Piazzi 218,23,48,74,59,74,1047,6.5,K0,0.33,0.092,5,15
