Thaw Number,YPC Number,YPC Component,Thaw Name,YPC Name,BD Number,Thaw RA1900,Thaw Dec1900,YPC RA1900,YPC Dec1900,RA1950,Dec1950,RA2000,Dec2000,Thaw B,YPC (B-V),YPC V,Thaw Spectrum,YPC Spectrum,Thaw Rel. Parallax,Thaw Rel. Parallax Error,Delta Pi,Thaw Abs. Parallax,Yale Abs. Parallax,Yale Abs. Parallax Error,Yale Tot. PM,Yale PM Position Angle,No. of Thaw Observations,Thaw Footnotes,Index Card Match Entry,Index Card Field Name,Index Card Mag.,Index Card RA,Index Card Dec,Index Card Equinox,Observations
1280,2506.0,,41 L Min,41 LMi,+23 2253.0,10 38 00.00,+23 43 00.00,10 37 58.7,+23 42 43,10 40 42.424,+23 27 02.0227,10 43 24.9,+23 11 18,5,5.08,0.04,A2,A3   Vn,9,6,,,14,9.8,0.116,272,37,,953,41_Leo_Minor,5,10 40 42.00,+23 27 02.0,1950,"['8181 p 19161205 _', '12828 p 19180503 _', '12847 k 19180505 _', '15014 f 19181216 _', '15069 p 19181217 _', '15120 k 19181218 _', '16635 k 19190426 _', '16660 k 19190502 _', '19092 p 19191210 _', '19101 2k 19191214 _', '19122 p 19191215 _', '19173 2k 19191221 _', '20049 g 19200421 _', '20099 k 19200429 _', '20143 k 19200503 _', '22734 k 19201230 _', '22826 f 19210108 _', '23696 g 19210506 _', '23740 k 19210508 _', '26024 k 19211206 _', '26080 g 19211226 _', '26153 k 19220106 _', '26214 g 19220109 _', '27120 g 19220429 _', '27153 k 19220501 _', '27167 g 19220507 _', '37784 g 19270430 _', '38925 g 19271206 _', '39413 g 19280501 _', '40307 g 19281211 _', '40343 p 19281222 _', '40709 g 19290426 _', '40715 g 19290427 _', '40719 g 19290429 _', '42944 g 19301210 _', '43743 f 19310423 _', '43774 g 19310501 _']"
1281,2546.0,,55 Leon,55 Leo,+1 2501.0,10 50 36.00,+1 16 00.00,10 50 33.6,+01 16 12,10 53 07.658,01 00 13.584,10 55 42.3,+00 44 12,6,5.91,0.42,F2,F2/3 III/V,11,5,,,14,8.4,0.095,94,60,,968,55_Leonis,6,10 55 08.00,+01 00 14.0,1950,"['847 ~ 19141212 -18', '872 f 19141216 -12', '955 ~ 19141227 -2', '979 ~ 19141231 -13', '11806 k 19180113 _', '12872 k 19180506 _', '12879 k 19180508 _', '15277 f 19190109 _', '15344 f 19190111 _', '15365 k 19190112 _', '16689 f 19190505 _', '16722 k 19190513 _', '16730 p,2f 19190514 _', '19175 g 19191221 _', '19248 k 19200102 _', '20217 k 19200508 _', '20231 g 19200509 _', '20239 k 19200510 _', '22736 g 19201230 _', '22875 g 19210110 _', '23720 k 19210507 _', '23739 k 19210508 _', '23802 k 19210514 _', '26026 k 19211206 _', '26038 k 19211209 _', '26284 g 19220116 _', '27168 k 19220507 _', '27191 g 19220508 _', '27203 g 19220510 _', '29142 f 19221129 _', '29302 k 19221220 _', '30159 p 19230501 _', '30178 g 19230503 _', '31878 k 19240103 _', '31942 g 19240108 _', '32602 g 19240502 _', '32629 g 19240505 _', '33967 k 19250115 _', '33978 k 19250121 _', '36358 g 19260508 _', '36379 g 19260511 _', '61250 ~ 19410322 _', '61384-5 g 19430325 _', '999999 x 9999999', '60_Leonis 4.6 10 59 39 +20 26 53 1950', '2002 k 19150510 +16', '4456 p 19160107 _', '4562 f 19160122 -2', '5299 f 19160508 +12', '5318 f 19150509 0', '8183 f 19161205 0', '8362 p 10161225 +3', '12815 k 19180501 _', '12829 k 19180503 _', '15070 f 19181217 _', '15121 g 19181218 _', '15171 k 19181222 _', '15278 ~ 19190109 _', '16656 k 19190429 _', '16663 k 19190502 _']"
1282,2575.0,,Alpha U Maj,ALP UMa,+62 1161.0,10 57 36.00,+62 17 00.00,10 57 33.5,+62 17 27,11 00 40.384,+62 01 19.7478,11 03 43.6,+61 45 03,2,1.79,1.07,K0,K0   IIIa,33,7,,,28,2.9,0.139,239,33,,977,alpha_Ursa_Major,2.0/11.1<0.8,11 00 39.00,+62 01 16.0,1950,"['5320 p 19160509 +12', '9290 p 19160508 +6', '12816 k 19180501 _', '15015 k 19181216 _', '15071 p 19181217 _', '15122 g 19181218 _', '16723 k 19190513 _', '16743 f 19190515 _', '19093 w 19191210 _', '19176 k 19191221 _', '19231 p 19200101 _', '20071 k 19200424 _', '20112 k 19200501 _', '20167 k 19200504 _', '22627 k 19201230 _', '22737 g 19201230 _', '23816 k 19210516 _', '26081 g 19211226 _', '26118 k 19220101 _', '26154 k 19220106 _', '27205 g 19220510 _', '27223 k 19220511 _', '29362 k 19221226 _', '29436 k 19230118 _', '30148 g 19230430 _', '30170 g 19230502 _', '31788 p 19231214 _', '31825 g 19231216 _', '32022 k 19240121 _', '32030 g 19240123 _', '32595 g 19240501 _', '33979 g 19250121 _', '34622 g 19250508 _']"
1283,2695.0,A,Grb 1812,,+45 1947.0,11 33 30.00,+45 40 00.00,11 33 29.0,+45 39 42,11 36 10.129,+45 23 05.6269,11 38 44.8,+45 06 30,6.3,6.44,0.56,G0,G0   V,51,6,,,50,8.7,0.6,271,39,,1016,Sigma_1561,"6.3/8.0<10""",11 36 07.00,+45 23 06.0,1950,"['12977 f 19180517 _', '13003 f 19180518 fog', '15018 k 19181216 _', '15126 k 19181218 _', '15385 k 19190115 _', '20189 g 19200505 _', '20206 k 19200506 _', '20219 k 19200508 _', '22700 k 19201220 _', '22878 k 19210110 _', '23701 g 19210506 _', '23726 g 19210507 _', '23839 g 19210517 _', '26-76 g 19211219 _', '26183 k 19220107 _', '26354 k 19220124 _', '27208 g 19220510 _', '27252 g 19220514 _', '29365 k 19221226 _', '29403 k 19230110 _', '30212 g 19230507 _', '30224 g 19230513 _', '31790 p 19231214 _', '31828 g 19231216 _', '31945 k 19240108 _', '31988 g 19240114 _', '32649 g 19240507 _', '32662 g 19240513 _', '33907 f 19241226 _', '34659 g 19250515 _', '35974 g 19260117 _', '36344 g 19260507 _', '39020 f 19280107 _', '39045 f 19280122 _', '39100 g 19280202 _', '39431 g 19280507 _', '39458 g 19280512 _', '39469 g 19280514 _', '85659 ~ 19550323 _']"
,2695.0,B,,,,,,11 33 28.0,+45 39 40,11 36 09.134,+45 23 03.6349,11 38 44.0,+45 06 26,,8.4,0.96,,K2   V,,,,,,,0.583,269,39,,1016,Sigma_1561,"6.3/8.0<10""",11 36 07.00,+45 23 06.0,1950,"['12977 f 19180517 _', '13003 f 19180518 fog', '15018 k 19181216 _', '15126 k 19181218 _', '15385 k 19190115 _', '20189 g 19200505 _', '20206 k 19200506 _', '20219 k 19200508 _', '22700 k 19201220 _', '22878 k 19210110 _', '23701 g 19210506 _', '23726 g 19210507 _', '23839 g 19210517 _', '26-76 g 19211219 _', '26183 k 19220107 _', '26354 k 19220124 _', '27208 g 19220510 _', '27252 g 19220514 _', '29365 k 19221226 _', '29403 k 19230110 _', '30212 g 19230507 _', '30224 g 19230513 _', '31790 p 19231214 _', '31828 g 19231216 _', '31945 k 19240108 _', '31988 g 19240114 _', '32649 g 19240507 _', '32662 g 19240513 _', '33907 f 19241226 _', '34659 g 19250515 _', '35974 g 19260117 _', '36344 g 19260507 _', '39020 f 19280107 _', '39045 f 19280122 _', '39100 g 19280202 _', '39431 g 19280507 _', '39458 g 19280512 _', '39469 g 19280514 _', '85659 ~ 19550323 _']"
1284,2732.0,,4 Virg,4 Vir,+9 2549.0,11 42 48.00,+8 48 00.00,11 42 46.5,+08 48 05,11 45 20.876,+08 31 25.0095,11 47 54.8,+08 14 45,5.2,5.32,0.02,A0,A1,8,7,,,15,8.9,0.056,270,25,,1025,xi_Virginis,5.1,11 42 42.00,+08 32 10.0,1950,"['72044 k 19470428 _', '73196 ~ 19480111 _', '74639 ~ 19490309 _', '74718 k 19490329 _', '74895 ~ 19490503 no_pi', '78576 ~ 19510225 *', '78744 g 19510405 _', '80732 k 19520502 _', '82106 2k 19530123 _', '82178 4k 19530216 _', '82236 f 19530317 _', '85282 f 19541226 _', '87488-9 k 19560303 _', '87645-6 4g,2k 19560409 _', '87761-2 k 19560507 _', '92432-3 k 19600424 _', '107847 g 19750502 _', '107859 2g,2f 10750507 _', '107866 p 19750510 _', '107868 ~ 19750516 _', '108096 p 19760227 _', '108158 k 19760228 _', '108167 k 19760404 _', '108211 ~ 19760518 _', '108240 f 19760504 _']"
1285,,,4H Drac,,+78 412.0,12 07 30.00,+78 10 00.00,,,0,0,,,5.1,--,--,A5,--,30,5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1286,2876.0,,17 Coma,17 Com,+26 2354.0,12 23 54.00,+26 28 00.00,12 23 55.0,+26 27 59,12 26 25.044,+26 11 22.6263,12 28 54.6,+25 54 46,5.4,5.29,-0.05,A0p,A1   IVp,14,5,,,19,8.4,0.036,235,33,,1107,17_Comae,5.4,12 26 24.00,+26 11 21.0,1950,"['15581 k 19190126 _', '15620 k 19190129 _', '16740 k 19190514 _', '16750 k 19190515 _', '19254 k 19200102 _', '19440 p 19200130 _', '19461 g 19200201 _', '20357 k 19200526 _', '20444 k 19200530 _', '22798 k 19210213 _', '23915 g 19210521 _', '24096 g 19210101 _', '27397 g 19220528 _', '27430 g 19220529 _', '29345 k 19221225 _', '30291 g 19230524 _', '30328 k 19230526 _', '31916 g 19240107 _', '32027 k 19240121 _', '36413 g 19260520 _', '36422 g 19260521 _', '37834 g 19270520 _', '40474 g 19290217 _', '40835 g 19290526 _', '43088 f 19310116 _', '43101 k 19310117 _', '43134 g 19310123 _', '43843 g 19310517 _', '43858 g 19310519 _', '43905 k 19310526 _', '45368 g 19320114 _', '45387 2k 19320118 _', '45450 g 19320206 _']"
1287,2940.0,,33 Virg,33 Vir,+10 2468.0,12 41 18.00,+10 06 00.00,12 41 17.6,+10 05 56,12 43 49.102,+09 49 30.8209,12 46 22.5,+09 32 23,5.9,5.67,0.99,K0,K1   III-*,31,7,,,20,7.5,0.535,148,15,,1137,33_Virginis,5.9,12 43 50.00,+09 49 08.0,1950,"['9424 k 19170529 +8', '9458 f 19170103 _', '11673 f 19171222 _', '11772 p 19180103 _', '11826 g 19180115 _', '11859 f 19180119 _', '13042 p 19180523 _', '13068 k 19180526 _', '13134 k 19180103 _', '15180 k 19181222 _', '15289 k 19190109 _', '15375 k 19190112 _', '15466 k 19190119 _', '16821 k 19190525 _', '16844 k 19190526 _']"
1288,2961.0,M,35 Coma,35 Com,+22 2519.0,12 48 24.00,+21 47 00.00,12 48 22.3,+21 47 19,12 50 50.271,+21 30 59.9782,12 53 17.7,+21 14 41,5.1,4.9,0.9,K0,"G8+F6III,V",17,5,,,19,6.6,0.07,242,31,,1152,Sigma_1687,5.1,12 50 50.00,+21 30 58.0,1950,"['93438-9 k 19610224 _', '95072-3 k 19620504 _', '95142 ~ 19620529 _', '96280-1 ~ 19630526 _', '97310-1 k 19640122 _', '97356-7 k 19640204 _', '97438-9 g 19640323 _', '97631-2 g 19640521 _', '98642-3 f 19650517 _', '99414-5 ~ 19660227 _', '99428-9 k 19660302 _', '99470-1 k 19660310 _', '99681-2 3k,f 19660520 _', '99687-8 k 19660522 off_center', '99699-0 f 19660523 _', '100572-3 3g,f 19670210 _', '100593-4 2f 19670222 _', '100620-1 p 19670310 _', '100818-9 k 19670524 _', '100823-4 f,3k 19670525 _', '100829-0 k 19670526 _', '101742-3 g 19680325 _', '101927-8 g 19680525 _', '102499-0 k 19690214 _', '102507-8 g 19690217 _', '103661-2 k,p 19700518 _', '103715-6 g 19700529 _', '104690-1 ~ 19710514 _', '104698-9 g 19710517 _', '104722-3 g 19710523 _', '105514-5 g 19720320 _']"
,2961.0,A,,35 Com,,,,12 48 22.3,+21 47 19,12 50 50.271,+21 30 59.9782,12 53 17.7,+21 14 41,,4.9,0.9,,--,,,,,19,6.6,0.07,242,31,,1152,Sigma_1687,5.1,12 50 50.00,+21 30 58.0,1950,"['93438-9 k 19610224 _', '95072-3 k 19620504 _', '95142 ~ 19620529 _', '96280-1 ~ 19630526 _', '97310-1 k 19640122 _', '97356-7 k 19640204 _', '97438-9 g 19640323 _', '97631-2 g 19640521 _', '98642-3 f 19650517 _', '99414-5 ~ 19660227 _', '99428-9 k 19660302 _', '99470-1 k 19660310 _', '99681-2 3k,f 19660520 _', '99687-8 k 19660522 off_center', '99699-0 f 19660523 _', '100572-3 3g,f 19670210 _', '100593-4 2f 19670222 _', '100620-1 p 19670310 _', '100818-9 k 19670524 _', '100823-4 f,3k 19670525 _', '100829-0 k 19670526 _', '101742-3 g 19680325 _', '101927-8 g 19680525 _', '102499-0 k 19690214 _', '102507-8 g 19690217 _', '103661-2 k,p 19700518 _', '103715-6 g 19700529 _', '104690-1 ~ 19710514 _', '104698-9 g 19710517 _', '104722-3 g 19710523 _', '105514-5 g 19720320 _']"
1289,3036.0,,Sigma Virg,SIG Vir,+6 2722.0,13 12 36.00,+6 00 00.00,13 12 33.2,+05 59 48,13 15 04.696,+05 43 57.1366,13 17 36.2,+05 28 11,5,4.8,1.67,Ma,M1   III,3,6,,,11,8.5,0.012,321,8,,1192,sigma_Virginis,5,13 15 09.00,+05 43 57.0,1950,"['42085 g 19300530 _', '42111 g 19300601 _', '73643 k 19480530 _', '74588 k 19490227 _', '103678 k 19700520 _', '104343 f 19710305 _', '104692-3 g 19710514 _', '108290 f 19760523 _']"
1290,,,Lal 24774,,+43 2321.0,13 16 06.00,+43 38 00.00,,,0,0,,,8.2,--,--,K0,--,33,5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,3088.0,,74 Virg,74 Vir,-5 3714.0,13 26 48.00,-5 44 00.00,13 26 45.8,-05 44 22,13 29 22.044,-05 59 51.3094,13 31 57.8,-06 15 21,4.8,4.69,1.62,Ma,M2   III,6,6,,,20,8.0,0.118,245,33,,1215,74_Virginis,4.8,13 29 21,-05 59 53,1950,"['40897 g 19290604 _', '40901 g 19290605 _', '41736 g 19300220 _', '41758 g 19300221 _', '42121 g 19300602 _', '42139 g 19300603 _', '42154 g 19300604 _', '43138 k 19310123 _', '43430 k 19310228 _', '43445 k 19310304 fog', '43925 g 19310527 _', '43941 k 19310428 _', '43965 g 19310603 _', '43979 g 19310605 _', '45372 g 19320114 _', '45488 k 19320213 _', '45956 g 19320525 _', '46052 k 19320607 _', '47448 k 19330113 _', '47471 g 19330115 _', '47604 p 19330213 _', '47623 k 19330216 _', '48186 k 19330606 _', '49724 k 19340218 _', '49752 p 19340302 _', '50367 g 19340527 _', '51668 k 19350213 _', '51726 k 19350309 _', '52086 g 19350525 _', '52118 g 19350528 _', '53270 g 19360114 _', '53765 k 19360526 _', '53783 g 19360529 _']"
1292,3388.0,,2H U Min,RR UMi,+66 878.0,14 56 00.00,+66 20 00.00,14 55 59.4,+66 19 50,14 56 47.476,66 07 50.1151,14 57 34.9,+65 55 56,4.9,4.6,1.59,Mb,M4.5 III,5,4,,,10,6.7,0.09,290,80,,1369,Ambr_4749,4.9,14 56 46,+66 07 51,1950,"['1359 ~ 19150228 _', '1442 ~ 19150309 _', '1502 ~ 19150313 _', '2396 ~ 19150626 _', '2414 ~ 19150627 _', '2440 ~ 19150628 _', '2459 ~ 19150702 _', '4780 ~ 19160229 _', '4891 ~ 19160319 _', '5686 ~ 19160621 _', '5715 ~ 19160622 _', '5765 ~ 19160626 _', '9062 ~ 19170403 _', '9655 ~ 19170627 _', '9695 ~ 19170630 _', '12008 ~ 19180210 _', '12192 ~ 19180301 _', '48328 g 19330623 _', '48357 g 19330627 _', '49969 k 19340403 _', '49993 g 19340408 _', '50377 ~ 19340528 _', '50463 g 19340611 _', '50530 k 19340623 _', '50552 k 19340627 _', '51768 k 19350322 _', '51782 k 19350326 _', '51798 k 19350327 _', '52066 ~ 19350523 _', '52138 ~ 19350601 _', '52181 k 19350615 _', '52202 g 19350624 _', '52235 g 19350627 _', '53454 k 19360330 _', '53821 g 19360605 _', '53864 g 19360616 _', '54927 g 19370322 _', '54970 k 19370331 _', '54987 g 19370401 _', '56228 k 19380319 _', '56272 g 19380322 _', '56741 g 19380615 _', '58114 k 19390616 _', '58171 g 19390625 _', '58185 k 19390626 _', '59560 g 19400326 _', '59810 g 19400627 _', '61324 g 19410407 _', '61888 g 19410627 _', '64270 g 19430224 _', '64370 g 19430324 _', '64823 g 19430619 _', '64859 g 19430622 _', '64878 g 19430623 _', '66978 g 19440525 _', '67029 g 19440530 _', '67052 w 19440612 _', '67143 g 19440626 _', '69061 k 19450630 _', '73757 ~ 19480628 _', '75096 ~ 19490603 _', '99479-0 g 19660310 _', '99509-0 k 19660314 _', '100934-5 k,f 19670608 _', '100940-1 g 19670610 _', '100952-3 p 19670613 _', '101621-2 k 19680219 _', '101855-6 g 19680413 _', '101939-0 g 19680525 _', '101946-7 g 19680606 _', '102673-4 g 19690404 _', '102866-7 3g 19690530 _', '102874-5 k 19690621 _', '102876-7 g 19690626 _', '102888-9 g 19690628 _', '102896-7 g 19690629 _', '103782-3 k 19700629 _', '108134 g 19760322 _', '108146 g 19760323 _', '109456 s 19780611 _']"
1293,3472.0,,11 U Min,11 UMi,+72 678.0,15 17 12.00,+72 11 00.00,15 17 10.1,+72 11 12,15 17 06.979,+72 00 18.135,15 17 05.8,+71 49 25,5.1,5.02,1.37,K0,K4   III,9,6,,,16,8.3,0.005,35,35,,1397,11_Ursa_Minor,5.1,15 17 07,+72 00 18,1950,"['46143 k 19320623 _', '46155 g 19320624 _', '47682 g 19330222 _', '47714 k 19330227 _', '47734 k 19330228 _', '48248 g 19330614 _', '48259 g 19330617 _', '48374 g 19330703 _', '49740 k 19400301 _', '49845 p 19340317 _', '49929 g 19340330 _', '49994 g 19340408 _', '50487 g 19340614 _', '50500 g 19340615 _', '50511 g 19340619 _', '51783 k 19350326 _', '51799 g 19350327 _', '51839 p 19350405 _', '52203 g 19350624 _', '53390 k 19360314 _', '53449 k 19360329 _', '53911 p 19360627 _', '54914 k 19370311 _', '54963 k 19370330 _', '55247 2k 19370626 _', '55263 k 19370629 _', '56229 2k 19380319 _', '56273 p 19380322 _', '56324 k 19380329 _', '56755 g 19380617 _', '57822 k 19390405 _', '58092 k 19390614 _', '58115 k 19390616 _', '58127 g 19390620 _', '58134 g 19390623 _']"
1294,3807.0,,18 Drac,18 Dra,+64 1145.0,16 40 12.00,+64 47 00.00,16 40 13.3,+64 46 42,16 40 33.850,+64 41 00.7771,16 40 55.0,+64 35 20,5,4.83,1.22,K0,K0   III*,2,5,,,8,7.3,0.016,204,92,,1561,18_Draconi,5,16 40 33,+64 41 00,1950,"['70282 ~ 19460403 _', '70374 g 19460419 _', '70460 g 19460502 _', '70718 ~ 19460625 _', '70735 g 19460628 _', '70828 k 19460715 _', '70885 g 19460727 _', '71942 g 19470320 _', '71962 g 19470331 _', '71994 g 19470415 _', '72032 k 19470428 _', '73437 k 19480329 _', '73462 g 19480404 _', '73479 2k 19480410 _', '73560 g 19480506 _', '73719 k 19480613 _', '73755 2k 19480627 _', '73785 g 19480704 _', '73793 k 19480706 _', '73814 k 19480709 _', '74704 g 19490329 _', '74743 ~ 19490402 WR*', '74774 k 19490405 _', '74783 k 19490407 _', '74873 g 19490426 _', '74879 f 19490428 _', '74889 k 19490430 _', '74955 g 19490517 _', '74989 f 19490521 _', '75181 g 19490623 _', '76955 2g 19500416 _', '77015 p 19500507 _', '77039 2g 19500509 _', '77085 g 19500516 _', '77105 g 19500519 _', '77126 g 19500521 _', '77168 2f 19500604 _', '77269 g 19500611 _', '77311 g 19500621 _', '77333 g 19500623 _', '77349 g 19500625 _', '77437 p 19500707 _', '77507 g 19500714 _', '78758 g 19510406 _', '78779 g 19510418 _', '78863 f 19510428 _', '79020 f 19510526 _', '79114 2g 19510615 _', '79128 g 19510618 _', '79142 g 19510620 _', '79163 g 19510628 _', '79288 g 19510716 _', '80526 g 19520327 _', '80596 g 19520416 _', '80676 g 19520421 _', '81035 p 19520627 _', '81178 g 19520714 _', '82356 g 19530530 _', '84078 g 19540317 _', '84090 g 19540318 *', '84225 f 19540413 _', '84441 f 19540629 _', '84472 g 19540702 _', '84514 g 19540716 _', '84539 g 19540717 _', '85902 4g 19550423 _', '86080 4g 19550603 _', '86144 g 19550617 _', '87625 g 19560401 _', '87630 g 19560405 _', '87917 g 19560610 _', '88089 g 19560711 _', '89531-2 g 19570530 _', '90444 k 19580318 _', '91410 4g 19590319 _', '91455-6 2g 19590323 _', '92685 g 19600707 _', '92728 g 19600711 _', '92845-6 g 19600725 _', '92862 g 19600729 _', '93816 f 19610724 _', '94824-5 g 19620318 _', '95032-3 g 19620326 _', '95002-3 g 19620515 _', '95130-1 g 19620523 _', '95280-1 g 19620627 _', '96158-9 2k 19630415 _', '96448-9 2f 19630705 _', '96462-3 f 19630708 _', '96466-7 g 19630711 _', '96512-3 p 19630724 _', '96534-5 g 19630725 _']"
1295,3959.0,,27H Ophi,,-4 4275.0,17 21 18.00,-5 00 00.00,17 21 19.4,-04 59 53,17 23 58.862,-05 02 35.6198,17 26 37.8,-05 05 11,4.6,4.54,0.39,F0,F3   V,24,5,,,30,7.5,0.105,245,6,,1654,27_H._Ophiuchis,4.6,17 23 58,-05 02 38,1950,"['58581 ~ 19390820 _', '59873 ~ 19400708 _', '64834 ~ 19430619 _', '67182 ~ 19440701 _', '70675 ~ 19460622 _', '86571-2 g 19550815 _']"
1296,,,Grb 2517,,+43 2892.0,18 04 30.00,+43 27 00.00,,,0,0,,,5.1,--,--,G5,--,7,6,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,4220.0,,107 Herc,107 Her,+28 2981.0,18 17 06.00,+28 49 00.00,18 17 06.9,+28 49 20,18 19 03.894,+28 50 39.0532,18 21 01.0,+28 52 12,5,5.12,0.2,A5,A7   V,15,6,,,18,9.8,0.051,5,150,,1783,107_Herculis,5,18 19 03,+28 50 41,1950,"['2016 g 19150510 _', '33362 g 19240905 _', '34652 p 19250515 _', '34718 k 19250522 _', '34731 k 19250523 _', '34753 g 19250527 _', '35243 k 19250821 _', '35304 g 19250827 _', '35314 g 19250829 _', '36306 g 19260501 _', '36370 g 19260509 _', '36397 g 19260513 _', '36885 g 19260828 _', '37000 g 19260916 _', '37009 g 19260917 _', '37857 p 19270528 _', '37871 f 19270529 _', '38374 g 19270905 _', '38415 g 19270912 _', '39501 g 19280522 broken', '39527 g 19280526 _', '39874 g 19280825 _', '39899 g 19280901 _', '40779 g 19290517 _', '40811 g 19290525 _', '41291 g 19290903 _', '41331 g 19290915 _', '42000 g 19300508 _', '42534 f 19300909 _', '43869 k 19310520 _', '43894 k 19310524 _', '44553 g 19310908 _', '44562 g 19310909 _', '45903 f 19320520 _', '45919 k 19320523 _', '45964 f 19320526 _', '45978 k 19320529 _', '54079 ~ 19360731 _', '59751 ~ 19400603 _', '59759 ~ 19400604 _', '59770 ~ 19400607 _', '59824 ~ 19400701 _', '59863 ~ 19400707 _', '60137 ~ 19400809 _', '60154 ~ 19400811 _', '61627 g 19410514 _', '63348 ~ 19420511 _', '63542 ~ 19420803 _', '63556 ~ 19420815 _', '63573 ~ 19420824 _', '63617 ~ 19420905 _', '64662 ~ 19430505 _', '64730 ~ 19430604 _', '64734 ~ 19430605 _', '73853 ~ 19480731 _', '75150 ~ 19490621 _', '75295 k 19490714 _', '75433 g 19490807 _', '75638 f 19490902 _', '75662 g 19490903 _', '77288 p 19500613 _', '77319 g 19500623 _', '77356 g 19500725 _', '77443 f 19500707 _', '77464 ~ 19500708 _', '77513 p 19500714 _', '77529 g 19500716 _', '77839 g 19500823 _', '79133 g 19510618 _', '79257 ~ 19510708 _', '79273 g 19510715 _', '79325 g 19510724 _', '79483 g 19510813 _', '79500 g 19510815 _', '80905 2k 19520608 _', '80994 f 19520619 _', '81097 f 19520707 _', '81129 g 19520711 _', '81148 k 19520712 _', '81183 p 19520720 _', '81206 g 19520725 _', '81255 g 19520731 _', '82525 g 19530704 _', '82545 ~ 19530705 _', '82554 g 19530707 _', '82588 g 19530721 _', '72792 2k 19530906 _', '84277 k 19540523 _', '84547 k 19540719 _', '84650 p 19540727 _', '84660 f 19540730 _', '84681 g 19540811 _', '84685 f 19540813 _', '84752 g,k 19540828 _', '84812 f 19540903 _', '86085 k 19550603 _', '86149 g 19550618 _', '86211 g 19550629 _', '86228 g 19550701 _', '86342-3 k 19550717 _', '86455-6 f 19550730 _', '86711-2 g 19550902 _', '88057-8 g 19560706 _', '89619-0 f 19570621 _', '91770-1 g 19590818 _', '91904-5 k 19590905 _', '91946-7 g 19590908 _', '92702-3 g 19600708 _', '95390-1 g 19620802 _', '95429-0 k 19620811 _', '95477-8 g 19620821 _', '96544-5 f 19630727 _', '96593-4 k 19630815 _', '96682-3 g 19630910 _', '97539-0 f 19640502 _', '97882-3 g 19640827 _', '98856-7 k 19650812 _', '99614-5 g 19660505 _', '99711-2 f 19660531 _', '99899-0 k 19660702 _', '104893 2k 19710717 _', '105708-9 g 19720512 _', '105733-4 w 19720513 _', '105751-2 g 19720525 _', '105769-0 k 19720525 _', '105807-8 k 19720528 _', '105951-2 f 19720815 _', '105968-9 g 19720819 _', '106770-1 g 19730429 _', '106813-4 g 19730602 _', '107806-7 f 19740521 _', '108297 k 19760603 _', '109008 k 19770622 _', '109046 k 19770727 _', '109375 ~ 19780427 _', '109423 ~ 19780525 *', '109446 ~ 19780609 _', '109540 ~ 19780826 *', '109541 ~ 19780826 *', '109542 ~ 19780901 _', '109543 ~ 19780901 _', '109545 ~ 19780902 _', '109546 ~ 19780902 _', '109550 ~ 19780905 _', '110762 k 19820501 _', '110763 g 19820501 _', '110776 k 19820503 _', '110777 k 19820503 _', '111028 g 19830803 _', '111029 g 19830803 _']"
1298,4595.0,A,Pi 185,LTT 7750A,-10 5130.0,19 31 18.00,-10 39 00.00,19 31 17.2,-10 39 28,19 34 02.370,-10 32 53.646,19 36 45.6,-10 26 35,8.5,8.58,1.01,K0,K2   V,44,6,,,51,7.2,0.385,226,53,,1976,Sigma_2541,8.5,19 33 _,-10 37 _,1950,"['226 ~ 19141004 +8', '2150 k 19150603 -9', '2166 k 19150604 -15', '2183 k 19150605 -11', '3109 ~ 19150907 +9', '3155 f 19150910 +3', '3196 ~ 19150912 -5', '3248 ~ 19150914 +8', '3377 ~ 19150925 0', '5357 p 19160513 -3', '5396 k 19160520 +7', '5585 p 19160608 -9', '6642 ~ 19160829 0', '6831 ~ 1916091 +6', '6872 ~ 19160913 +17', '6886 ~ 19160916 -2', '9445 k 19170529 +7', '9476 p 19170608 +16', '44786 g 19311009 _', '46871 g 19321007 _', '46884 g 19321008 _', '48115 k 19330523 _', '48194 k 19330607 _', '48959 g 19330929 _', '48980 g 19331001 _', '51099 g 19340920 _', '52166 g 19350610 _', '52685 g 19350911 _', '52753 g 19350924 _', '53801 k 19360601 _', '53814 g 19360605 _', '54337 g 19360925 _', '54389 k 19361004 _', '56704 g 19380613 _', '56746 g 19380616 _', '57224 g 19381001 _', '58813 g 19390914 _', '62276 g 19410912 _', '63662 k 19420914 _', '63689 g 19420921 _', '64838 g 19430620 _', '64850 g 19430621 _', '64853 k 19430622 _', '65508 g 19430913 _', '65526 g 19430915 _', '65666 g 19430928 _', '67097 k 19440619 _', '67556 2k 19440907 _', '67713 g 19440924 _', '68889 g 19450525 _', '68905 g 19450529 _', '69448 g 19451007 _', '69568 4g 19451009 _']"
